PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
0,0,1,33,1,0,0,0,0,0,0,2015,0,0,0,0,0,0,5000,2,0,0,2,0,0,9438,122
0,0,1,33,1,7,2,12,7,2,12,22109,9,2,15,9,2,15,24719,7,0,10,7,0,10,17484,121
0,0,1,33,1,4,1,19,4,1,19,25437,2,0,3,2,0,4,10360,4,1,7,4,1,7,19250,212
0,0,1,33,1,10,2,19,9,2,20,23609,11,3,19,11,3,18,32750,8,2,9,8,2,9,17250,221
0,0,1,33,1,6,0,17,6,0,18,34062,7,1,30,7,1,30,40406,7,1,23,6,1,23,33094,303
0,0,1,33,1,9,0,13,9,0,13,17797,3,0,1,3,0,1,8875,8,0,5,8,0,5,17172,203
0,0,1,33,1,10,2,9,11,2,10,24781,9,3,12,10,3,11,23890,9,1,14,8,1,15,25656,412
0,0,1,33,1,13,2,14,13,2,15,21781,12,4,14,11,4,13,26047,12,3,15,12,3,15,23797,221
0,0,0,25,1,4,0,8,4,0,7,10547,2,0,1,2,0,1,8593,3,0,11,3,0,10,15625,122
0,0,0,25,1,4,0,6,4,0,5,7828,9,0,10,7,0,11,16343,4,0,7,3,0,6,8250,121
0,0,0,25,1,3,0,8,3,0,7,5375,22,3,19,21,3,18,32421,0,0,0,0,0,0,0,212
0,0,0,25,1,11,0,11,8,0,11,19047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,0,25,1,4,0,6,4,0,5,6063,3,0,10,3,0,11,8328,3,0,5,3,0,5,8468,303
0,0,0,25,1,6,3,5,6,3,6,11188,12,0,12,12,0,12,23250,0,0,0,0,0,0,0,203
0,3,0,26,0,27,1,15,26,2,15,27063,20,5,19,19,5,18,37578,0,0,0,0,0,0,0,122
0,3,0,26,0,2,1,3,2,1,3,8266,9,1,8,9,1,8,15422,9,2,10,9,2,10,18625,121
0,3,0,26,0,23,7,20,21,6,19,27719,29,6,16,26,5,12,34578,18,4,6,17,4,5,23500,212
0,3,0,26,0,31,3,14,29,2,13,31875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,3,0,26,0,9,5,8,8,4,9,16000,9,2,9,9,2,9,14500,4,0,2,4,0,1,8625,303
0,3,0,26,0,25,2,15,25,2,13,27641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,1,0,26,0,4,3,6,4,3,6,11906,4,1,5,4,1,5,18922,23,13,28,21,13,27,63625,122
0,1,0,26,0,19,5,14,17,5,12,31562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
0,1,0,26,0,27,13,22,26,13,20,39187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
0,1,0,26,0,14,3,16,13,2,16,21015,24,13,19,23,13,18,41875,0,0,0,0,0,0,0,221
0,1,0,26,0,30,17,27,28,16,26,44516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
0,1,0,26,0,16,7,14,15,6,14,24203,20,11,19,19,10,19,36157,0,0,0,0,0,0,0,203
0,0,0,23,0,13,2,17,12,2,16,19000,25,3,14,24,3,14,29125,0,0,0,0,0,0,0,122
0,0,0,23,0,23,9,18,22,8,17,27469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
0,0,0,23,0,25,11,25,23,11,25,32812,22,6,26,19,6,23,28875,16,4,21,15,4,21,21453,212
0,0,0,23,0,1,1,1,1,1,1,3062,3,2,2,3,2,2,8078,3,0,3,3,0,3,8594,221
0,0,0,23,0,27,8,22,24,8,21,30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
0,0,0,23,0,23,8,26,20,7,23,26234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,22,1,10,4,9,13,4,9,26906,16,4,10,16,4,10,25953,5,0,5,5,0,6,14750,122
0,0,0,22,1,6,3,2,5,3,1,14985,6,3,4,6,2,4,25203,5,4,5,5,4,5,19578,121
0,0,0,22,1,12,1,11,13,1,11,23031,1,0,4,2,0,4,10922,5,0,4,6,0,4,11734,212
0,0,0,22,1,9,2,6,9,2,7,14078,12,1,10,13,1,12,33375,27,8,30,27,8,33,51203,221
0,0,0,22,1,3,0,5,3,0,6,7469,3,0,6,3,0,5,8172,6,0,6,4,0,5,10625,303
0,0,0,22,1,11,0,8,11,0,9,14391,21,1,19,22,1,19,31672,4,0,3,4,0,2,8500,203
0,0,0,22,1,10,1,14,10,1,14,15453,7,1,17,7,1,17,15094,13,1,21,13,2,22,17156,412
0,0,0,22,1,5,0,1,6,0,2,7781,7,0,1,7,0,1,10625,6,0,1,6,0,1,10172,221
0,0,1,24,0,24,14,25,19,13,23,39547,33,8,22,32,8,21,46500,12,0,12,10,0,13,14593,122
0,0,1,24,0,6,2,8,5,2,7,10172,8,8,7,9,6,7,16906,4,1,4,4,1,3,9250,121
0,0,1,24,0,7,0,9,7,0,8,9907,16,3,14,15,3,15,25750,6,2,8,6,2,9,14156,212
0,0,1,24,0,16,0,14,14,0,14,19047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,1,24,0,17,8,25,18,8,25,36125,3,5,9,3,5,9,16922,7,0,4,7,0,3,12375,303
0,0,1,24,0,4,2,11,3,2,13,13250,20,2,8,21,2,8,27281,0,0,0,0,0,0,0,203
1,0,1,25,1,5,2,2,5,1,2,9674,8,2,2,9,1,2,17786,14,3,8,13,3,8,21334,122
1,0,1,25,1,4,1,6,3,1,6,13861,4,0,10,6,0,10,19017,3,0,3,4,0,4,10345,121
1,0,1,25,1,10,2,7,10,2,7,22580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
1,0,1,25,1,2,0,2,2,0,2,5094,2,0,3,2,0,3,8376,7,3,15,10,3,14,29299,221
1,0,1,25,1,10,3,18,10,3,18,19439,3,1,5,4,1,4,12078,9,3,16,9,3,16,23797,303
1,0,1,25,1,5,0,10,3,0,10,11282,3,1,2,4,1,2,10625,11,7,25,13,7,24,40876,203
1,0,1,36,1,0,0,0,0,0,0,1938,6,0,4,6,0,4,12062,3,0,1,4,0,1,8734,122
1,0,1,36,1,5,0,3,4,0,2,5500,6,0,6,5,0,5,13375,5,0,11,5,0,10,15875,121
1,0,1,36,1,1,0,3,1,0,3,6672,4,1,12,4,1,13,14250,2,0,1,2,0,1,7797,212
1,0,1,36,1,6,0,4,6,0,4,9265,1,0,0,1,0,0,5453,4,0,3,4,0,3,12172,221
1,0,1,37,1,2,1,6,2,1,6,9703,1,0,3,1,0,3,10203,1,0,1,1,0,1,8500,122
1,0,1,37,1,1,0,2,1,0,2,5187,2,0,3,2,0,2,11047,2,1,9,2,1,9,18500,121
1,0,1,37,1,4,1,4,4,1,4,28906,2,0,2,2,0,2,10375,5,0,9,3,0,9,11625,212
1,0,1,37,1,13,10,29,15,10,27,56516,8,2,14,7,2,14,20125,17,6,21,17,6,24,37953,221
1,0,1,37,1,6,2,8,6,2,8,17797,3,0,4,3,0,4,8594,4,2,8,3,2,8,14047,303
1,0,1,37,1,13,2,8,13,2,8,16953,8,2,6,6,2,6,13609,9,5,7,10,5,7,25828,203
0,0,1,27,1,29,13,53,28,12,56,70016,4,0,2,4,0,2,7953,7,1,7,7,1,5,12125,122
0,0,1,27,1,1,0,0,1,0,0,4328,12,3,8,10,3,7,25500,8,2,4,7,2,5,17078,121
0,0,1,27,1,15,2,17,15,2,17,26453,16,4,14,14,4,15,32094,7,2,4,6,2,4,14297,212
0,0,1,27,1,26,10,35,23,10,33,57266,25,7,22,24,5,23,37125,14,7,16,14,7,14,25500,221
0,0,1,27,1,4,2,5,3,2,5,13407,9,4,12,7,4,12,31000,5,2,3,5,2,4,17625,303
0,0,1,27,1,1,0,0,2,0,0,6797,6,1,6,6,1,5,26672,29,8,24,26,8,24,54781,203
1,0,0,33,0,6,4,7,6,4,7,11194,5,1,4,5,1,4,10994,7,2,10,7,2,10,14693,122
1,0,0,33,0,1,0,0,1,0,0,3282,16,2,20,15,2,21,37750,0,0,0,0,0,0,0,121
1,0,0,33,0,24,7,27,22,7,27,36733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
1,0,0,33,0,27,7,26,27,7,24,43046,21,1,16,19,1,16,27316,23,5,21,19,5,20,31943,221
1,0,0,33,0,12,1,3,12,1,2,14818,19,2,11,18,2,10,27315,0,0,0,0,0,0,0,303
1,0,0,33,0,4,0,3,4,0,2,4934,18,3,18,16,3,15,26040,0,0,0,0,0,0,0,203
