PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,Engagement
0,0,1,33,1,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0,2,0,0,9,1
0,0,1,33,1,7,2,12,7,2,12,22,9,2,15,9,2,15,24,7,0,10,7,0,10,17,1
0,0,1,33,1,4,1,19,4,1,19,25,2,0,3,2,0,4,10,4,1,7,4,1,7,19,2
0,0,1,33,1,10,2,19,9,2,20,23,11,3,19,11,3,18,32,8,2,9,8,2,9,17,2
0,0,1,33,1,6,0,17,6,0,18,34,7,1,30,7,1,30,40,7,1,23,6,1,23,33,3
0,0,1,33,1,9,0,13,9,0,13,17,3,0,1,3,0,1,8,8,0,5,8,0,5,17,2
0,0,1,33,1,10,2,9,11,2,10,24,9,3,12,10,3,11,23,9,1,14,8,1,15,25,4
0,0,1,33,1,13,2,14,13,2,15,21,12,4,14,11,4,13,26,12,3,15,12,3,15,23,2
0,0,0,25,1,4,0,8,4,0,7,10,2,0,1,2,0,1,8,3,0,11,3,0,10,15,1
0,0,0,25,1,4,0,6,4,0,5,7,9,0,10,7,0,11,16,4,0,7,3,0,6,8,1
0,0,0,25,1,3,0,8,3,0,7,5,22,3,19,21,3,18,32,0,0,0,0,0,0,0,2
0,0,0,25,1,11,0,11,8,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,25,1,4,0,6,4,0,5,6,3,0,10,3,0,11,8,3,0,5,3,0,5,8,3
0,0,0,25,1,6,3,5,6,3,6,11,12,0,12,12,0,12,23,0,0,0,0,0,0,0,2
0,3,0,26,0,27,1,15,26,2,15,27,20,5,19,19,5,18,37,0,0,0,0,0,0,0,1
0,3,0,26,0,2,1,3,2,1,3,8,9,1,8,9,1,8,15,9,2,10,9,2,10,18,1
0,3,0,26,0,23,7,20,21,6,19,27,29,6,16,26,5,12,34,18,4,6,17,4,5,23,2
0,3,0,26,0,31,3,14,29,2,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,3,0,26,0,9,5,8,8,4,9,16,9,2,9,9,2,9,14,4,0,2,4,0,1,8,3
0,3,0,26,0,25,2,15,25,2,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,26,0,4,3,6,4,3,6,11,4,1,5,4,1,5,18,23,13,28,21,13,27,63,1
0,1,0,26,0,19,5,14,17,5,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,26,0,27,13,22,26,13,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,26,0,14,3,16,13,2,16,21,24,13,19,23,13,18,41,0,0,0,0,0,0,0,2
0,1,0,26,0,30,17,27,28,16,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,1,0,26,0,16,7,14,15,6,14,24,20,11,19,19,10,19,36,0,0,0,0,0,0,0,2
0,0,0,23,0,13,2,17,12,2,16,19,25,3,14,24,3,14,29,0,0,0,0,0,0,0,1
0,0,0,23,0,23,9,18,22,8,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,23,0,25,11,25,23,11,25,32,22,6,26,19,6,23,28,16,4,21,15,4,21,21,2
0,0,0,23,0,1,1,1,1,1,1,3,3,2,2,3,2,2,8,3,0,3,3,0,3,8,2
0,0,0,23,0,27,8,22,24,8,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,23,0,23,8,26,20,7,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,22,1,10,4,9,13,4,9,26,16,4,10,16,4,10,25,5,0,5,5,0,6,14,1
0,0,0,22,1,6,3,2,5,3,1,14,6,3,4,6,2,4,25,5,4,5,5,4,5,19,1
0,0,0,22,1,12,1,11,13,1,11,23,1,0,4,2,0,4,10,5,0,4,6,0,4,11,2
0,0,0,22,1,9,2,6,9,2,7,14,12,1,10,13,1,12,33,27,8,30,27,8,33,51,2
0,0,0,22,1,3,0,5,3,0,6,7,3,0,6,3,0,5,8,6,0,6,4,0,5,10,3
0,0,0,22,1,11,0,8,11,0,9,14,21,1,19,22,1,19,31,4,0,3,4,0,2,8,2
0,0,0,22,1,10,1,14,10,1,14,15,7,1,17,7,1,17,15,13,1,21,13,2,22,17,4
0,0,0,22,1,5,0,1,6,0,2,7,7,0,1,7,0,1,10,6,0,1,6,0,1,10,2
0,0,1,24,0,24,14,25,19,13,23,39,33,8,22,32,8,21,46,12,0,12,10,0,13,14,1
0,0,1,24,0,6,2,8,5,2,7,10,8,8,7,9,6,7,16,4,1,4,4,1,3,9,1
0,0,1,24,0,7,0,9,7,0,8,9,16,3,14,15,3,15,25,6,2,8,6,2,9,14,2
0,0,1,24,0,16,0,14,14,0,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,1,24,0,17,8,25,18,8,25,36,3,5,9,3,5,9,16,7,0,4,7,0,3,12,3
0,0,1,24,0,4,2,11,3,2,13,13,20,2,8,21,2,8,27,0,0,0,0,0,0,0,2
1,0,1,25,1,5,2,2,5,1,2,9,8,2,2,9,1,2,17,14,3,8,13,3,8,21,1
1,0,1,25,1,4,1,6,3,1,6,13,4,0,10,6,0,10,19,3,0,3,4,0,4,10,1
1,0,1,25,1,10,2,7,10,2,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,25,1,2,0,2,2,0,2,5,2,0,3,2,0,3,8,7,3,15,10,3,14,29,2
1,0,1,25,1,10,3,18,10,3,18,19,3,1,5,4,1,4,12,9,3,16,9,3,16,23,3
1,0,1,25,1,5,0,10,3,0,10,11,3,1,2,4,1,2,10,11,7,25,13,7,24,40,2
1,0,1,36,1,0,0,0,0,0,0,1,6,0,4,6,0,4,12,3,0,1,4,0,1,8,1
1,0,1,36,1,5,0,3,4,0,2,5,6,0,6,5,0,5,13,5,0,11,5,0,10,15,1
1,0,1,36,1,1,0,3,1,0,3,6,4,1,12,4,1,13,14,2,0,1,2,0,1,7,2
1,0,1,36,1,6,0,4,6,0,4,9,1,0,0,1,0,0,5,4,0,3,4,0,3,12,2
1,0,1,37,1,2,1,6,2,1,6,9,1,0,3,1,0,3,10,1,0,1,1,0,1,8,1
1,0,1,37,1,1,0,2,1,0,2,5,2,0,3,2,0,2,11,2,1,9,2,1,9,18,1
1,0,1,37,1,4,1,4,4,1,4,28,2,0,2,2,0,2,10,5,0,9,3,0,9,11,2
1,0,1,37,1,13,10,29,15,10,27,56,8,2,14,7,2,14,20,17,6,21,17,6,24,37,2
1,0,1,37,1,6,2,8,6,2,8,17,3,0,4,3,0,4,8,4,2,8,3,2,8,14,3
1,0,1,37,1,13,2,8,13,2,8,16,8,2,6,6,2,6,13,9,5,7,10,5,7,25,2
0,0,1,27,1,29,13,53,28,12,56,70,4,0,2,4,0,2,7,7,1,7,7,1,5,12,1
0,0,1,27,1,1,0,0,1,0,0,4,12,3,8,10,3,7,25,8,2,4,7,2,5,17,1
0,0,1,27,1,15,2,17,15,2,17,26,16,4,14,14,4,15,32,7,2,4,6,2,4,14,2
0,0,1,27,1,26,10,35,23,10,33,57,25,7,22,24,5,23,37,14,7,16,14,7,14,25,2
0,0,1,27,1,4,2,5,3,2,5,13,9,4,12,7,4,12,31,5,2,3,5,2,4,17,3
0,0,1,27,1,1,0,0,2,0,0,6,6,1,6,6,1,5,26,29,8,24,26,8,24,54,2
1,0,0,33,0,6,4,7,6,4,7,11,5,1,4,5,1,4,10,7,2,10,7,2,10,14,1
