# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

i 2 1056 0 0 27026 3991
b 3 0 1056 0 1199 987
b 3 0 1056 0 1075 650
p 2 0 1053 3 6716 1374
b 3 0 1056 0 651 628
b 3 0 1056 0 821 781
p 2 0 1033 23 7223 1365
b 3 0 1056 0 554 535
b 3 0 1056 0 506 502
p 2 0 1038 18 4703 1337
b 3 0 1056 0 1146 1093
b 3 0 1056 0 1336 1153
p 2 0 1025 31 5754 1345
b 3 0 1056 0 1490 1078
b 3 0 1056 0 2017 976
p 2 0 988 68 7340 1263
b 3 0 1056 0 704 635
b 3 0 1056 0 809 740
p 2 0 961 95 6813 1237
b 3 0 1056 0 840 636
b 3 0 1056 0 732 608
p 2 0 969 87 6371 1241
b 3 0 1056 0 1361 825
b 3 0 1056 0 1460 871
p 2 0 968 88 8178 1289
b 3 0 1056 0 802 627
b 3 0 1056 0 898 681
p 2 0 938 118 6535 1241
b 3 0 1056 0 664 552
b 3 0 1056 0 789 640
p 2 0 862 194 6605 1183
b 3 0 1056 0 482 471
b 3 0 1056 0 563 529
p 2 0 858 198 5255 1164
b 3 0 1056 0 745 673
b 3 0 1056 0 736 646
p 2 0 966 90 5980 1232
b 3 0 1056 0 527 480
b 3 0 1056 0 667 567
p 2 0 881 175 6799 1234
b 3 0 1056 0 463 458
b 3 0 1056 0 568 562
p 2 0 946 110 5218 1224
b 3 0 1056 0 685 526
b 3 0 1056 0 551 481
p 2 0 868 188 7326 1222
b 3 0 1056 0 2396 1112
b 3 0 1056 0 2283 1159
p 2 0 1020 36 10154 1429
b 3 0 1056 0 3041 1396
b 3 0 1056 0 2875 1182
p 2 0 1044 12 11952 1502
b 3 0 1056 0 3028 1225
b 3 0 1056 0 2829 1153
p 2 0 1037 19 12242 1550
b 3 0 1056 0 2983 1258
b 3 0 1056 0 3429 1214
p 2 0 1003 53 12154 1561
b 3 0 1056 0 3126 1369
b 3 0 1056 0 2830 1288
p 2 1 1032 23 11202 1579
b 3 0 1056 0 3265 1239
b 3 0 1056 0 3422 1110
p 2 0 999 57 12829 1527
b 3 0 1056 0 3386 1183
b 3 0 1056 0 2984 1173
p 2 0 985 71 9607 1405
b 3 0 1056 0 2809 1121
b 3 0 1056 0 2827 1051
p 2 0 944 112 11045 1416
b 3 0 1056 0 2592 1138
b 3 0 1056 0 2496 1124
p 2 0 1004 52 10959 1404
b 3 0 1056 0 2653 1015
b 3 0 1056 0 2442 938
p 2 0 1008 48 10105 1356
b 3 0 1056 0 2713 1092
b 3 0 1056 0 2796 1094
p 2 0 1025 31 11412 1381
b 3 0 1056 0 2577 1138
b 3 0 1056 0 3600 1140
p 2 0 1008 48 9200 1361
b 3 0 1056 0 3069 1451
b 3 0 1056 0 6484 1528
p 2 0 1054 2 9502 1475
b 3 0 1056 0 3104 1456
b 3 0 1056 0 4305 1370
p 2 0 1038 18 11689 1381
b 3 0 1056 0 2484 1171
b 3 0 1056 0 2223 1112
p 2 0 991 65 10805 1368
b 3 0 1056 0 1951 958
b 3 0 1056 0 1762 913
p 2 0 978 78 9520 1304
b 3 0 1056 0 1481 856
b 3 0 1056 0 1526 907
p 2 0 1004 52 6968 1274
b 3 0 1056 0 645 481
b 3 0 1056 0 886 621
p 2 0 885 171 8363 1231
b 3 0 1056 0 529 489
b 3 0 1056 0 643 604
p 2 0 893 163 6371 1182
b 3 0 1056 0 627 517
b 3 0 1056 0 761 511
p 2 0 866 190 7286 1225
b 3 0 1056 0 1312 901
b 3 0 1056 0 1350 906
p 2 0 974 82 7562 1277
b 3 0 1056 0 1652 877
b 3 0 1056 0 1048 675
p 2 0 957 99 7260 1221
b 3 0 1056 0 1920 851
b 3 0 1056 0 1717 795
p 2 0 964 92 6696 1222
b 3 0 1056 0 2129 793
b 3 0 1056 0 1429 619
p 2 0 994 62 7093 1190
b 3 0 1056 0 1418 683
b 3 0 1056 0 1725 766
p 2 0 1007 49 8645 1276
b 3 0 1056 0 2197 989
b 3 0 1056 0 2299 980
p 2 0 1019 37 7820 1255
b 3 0 1056 0 7040 1925
b 3 0 1056 0 4958 1535
p 2 1 1041 14 11597 1561
b 3 0 1056 0 3348 1421
b 3 0 1056 0 4527 1652
p 2 11 1006 39 16106 1733
b 3 0 1056 0 5097 1499
b 3 0 1056 0 5649 1576
p 2 0 1051 5 9759 1515
b 3 0 1056 0 8964 1678
b 3 0 1056 0 9616 1781
p 2 6 1049 1 14719 1749
b 3 0 1056 0 5534 2070
b 3 0 1056 0 5911 1668
p 2 5 1051 0 18973 2021
b 3 0 1056 0 6443 1802
p 2 49 986 21 17525 2263
b 3 0 1056 0 7209 2729
p 2 206 850 0 19200 3148
b 3 0 1056 0 8372 2139
p 2 42 1014 0 24664 2477
b 3 0 1056 0 3815 1502
b 3 0 1056 0 3270 1454
p 2 0 1050 6 14100 1570
b 3 0 1056 0 3905 1436
b 3 0 1056 0 3886 1625
p 2 0 1039 17 11895 1630
b 3 0 1056 0 6425 2005
b 3 0 1056 0 6149 2354
p 2 16 1040 0 18361 2032
b 3 0 1056 0 4075 1908
b 3 0 1056 0 3688 1550
p 2 0 1056 0 25673 1998
b 3 0 1056 0 3342 1430
b 3 0 1056 0 6913 1736
p 2 0 1052 4 8961 1441
b 3 0 1056 0 1965 1009
b 3 0 1056 0 2628 1083
p 2 1 1017 38 9422 1362
b 3 0 1056 0 2017 990
b 3 0 1056 0 1257 999
p 2 0 1031 25 10475 1341
b 3 0 1056 0 910 719
b 3 0 1056 0 1596 934
p 2 0 1013 43 7638 1343
b 3 0 1056 0 662 621
b 3 0 1056 0 1106 748
p 2 0 930 126 5252 1240
b 3 0 1056 0 768 600
b 3 0 1056 0 852 640
p 2 0 963 93 6639 1236
b 3 0 1056 0 1353 702
b 3 0 1056 0 1092 749
p 2 0 931 125 8582 1258
b 3 0 1056 0 767 670
b 3 0 1056 0 681 641
p 2 0 936 120 8207 1280
b 3 0 1056 0 552 549
b 3 0 1056 0 573 566
p 2 0 870 186 4863 1157
b 3 0 1056 0 427 379
b 3 0 1056 0 465 430
p 2 0 860 196 5741 1181
b 3 0 1056 0 446 442
b 3 0 1056 0 497 468
p 2 0 863 193 5660 1165
b 3 0 1056 0 790 709
b 3 0 1056 0 1246 843
p 2 0 946 110 5644 1225
b 3 0 1056 0 1328 803
b 3 0 1056 0 2001 871
p 2 0 952 104 9081 1250
b 3 0 1056 0 7775 1947
b 3 0 1056 0 3236 1382
p 2 0 1049 7 12971 1359
b 3 0 1056 0 2051 1074
b 3 0 1056 0 2303 1065
p 2 0 1031 25 7843 1290
