# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

i 2 1056 0 0 28142 4110
b 3 0 1056 0 768 586
b 3 0 1056 0 814 599
p 2 0 775 281 4376 1184
b 3 0 1056 0 1006 654
b 3 0 1056 0 1124 678
p 2 0 947 109 5610 1311
b 3 0 1056 0 610 456
b 3 0 1056 0 729 527
p 2 0 844 212 5264 1237
b 3 0 1056 0 741 584
b 3 0 1056 0 799 659
p 2 0 968 88 7019 1360
b 3 0 1056 0 568 485
b 3 0 1056 0 574 487
p 2 0 847 209 4407 1223
b 3 0 1056 0 708 493
b 3 0 1056 0 787 644
p 2 0 869 187 7072 1271
b 3 0 1056 0 537 414
b 3 0 1056 0 596 404
p 2 0 957 99 8721 1376
b 3 0 1056 0 764 630
b 3 0 1056 0 1434 758
p 2 0 930 126 6745 1318
b 3 0 1056 0 726 464
b 3 0 1056 0 809 550
p 2 0 976 80 8900 1387
b 3 0 1056 0 723 517
b 3 0 1056 0 700 550
p 2 0 872 184 7074 1286
b 3 0 1056 0 658 492
b 3 0 1056 0 665 475
p 2 0 850 206 4664 1221
b 3 0 1056 0 789 602
b 3 0 1056 0 740 634
p 2 0 921 135 6780 1285
b 3 0 1056 0 541 450
b 3 0 1056 0 590 475
p 2 0 811 245 3995 1185
b 3 0 1056 0 520 450
b 3 0 1056 0 578 511
p 2 0 822 234 4065 1179
b 3 0 1056 0 540 424
b 3 0 1056 0 757 472
p 2 0 775 281 4004 1159
b 3 0 1056 0 562 507
b 3 0 1056 0 670 591
p 2 0 883 173 5307 1237
b 3 0 1056 0 440 362
b 3 0 1056 0 538 455
p 2 0 805 251 3995 1174
b 3 0 1056 0 445 413
b 3 0 1056 0 392 387
p 2 0 712 344 3500 1133
b 3 0 1056 0 394 343
b 3 0 1056 0 462 364
p 2 0 717 339 3694 1141
b 3 0 1056 0 456 418
b 3 0 1056 0 610 574
p 2 0 936 120 6998 1309
b 3 0 1056 0 374 365
