# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

i 2 1056 0 0 32219 4136
b 3 0 1056 0 788 560
b 3 0 1056 0 776 607
p 2 0 803 253 3551 1128
b 3 0 1056 0 836 583
b 3 0 1056 0 958 595
p 2 0 935 121 4854 1237
b 3 0 1056 0 426 385
b 3 0 1056 0 511 471
p 2 0 855 201 4578 1213
b 3 0 1056 0 803 624
b 3 0 1056 0 711 576
p 2 0 928 128 5071 1261
b 3 0 1056 0 830 487
b 3 0 1056 0 891 554
p 2 0 876 180 4950 1225
b 3 0 1056 0 672 560
b 3 0 1056 0 785 594
p 2 0 829 227 4318 1168
b 3 0 1056 0 592 441
b 3 0 1056 0 713 513
p 2 0 780 276 4130 1133
b 3 0 1056 0 698 593
b 3 0 1056 0 721 621
p 2 0 840 216 4758 1198
b 3 0 1056 0 397 388
b 3 0 1056 0 473 443
p 2 0 779 277 3716 1126
b 3 0 1056 0 459 384
b 3 0 1056 0 519 423
p 2 0 725 331 3729 1086
b 3 0 1056 0 590 419
b 3 0 1056 0 626 429
p 2 0 763 293 4668 1139
b 3 0 1056 0 595 512
b 3 0 1056 0 700 540
p 2 0 835 221 4689 1191
b 3 0 1056 0 469 381
b 3 0 1056 0 439 422
p 2 0 737 319 4038 1103
b 3 0 1056 0 424 383
b 3 0 1056 0 625 492
p 2 0 756 300 3868 1115
b 3 0 1056 0 514 434
b 3 0 1056 0 372 359
p 2 0 699 357 3577 1096
b 3 0 1056 0 500 484
b 3 0 1056 0 545 498
p 2 0 814 242 4174 1155
b 3 0 1056 0 478 418
b 3 0 1056 0 508 442
p 2 0 722 334 4364 1138
b 3 0 1056 0 666 494
b 3 0 1056 0 756 515
p 2 0 763 293 4175 1123
b 3 0 1056 0 666 428
b 3 0 1056 0 720 457
p 2 0 731 325 4711 1130
b 3 0 1056 0 801 656
b 3 0 1056 0 825 611
p 2 0 836 220 5462 1199
b 3 0 1056 0 1182 620
b 3 0 1056 0 1878 748
p 2 0 793 263 5116 1172
b 3 0 1056 0 708 611
b 3 0 1056 0 880 612
p 2 0 828 228 6236 1196
b 3 0 1056 0 2166 744
b 3 0 1056 0 2110 774
p 2 0 798 258 4632 1138
b 3 0 1056 0 1058 767
b 3 0 1056 0 1346 843
p 2 0 876 180 6907 1281
b 3 0 1056 0 2038 783
b 3 0 1056 0 1678 720
p 2 0 837 219 5712 1243
b 3 0 1056 0 752 643
b 3 0 1056 0 635 564
p 2 0 824 232 6202 1198
b 3 0 1056 0 854 538
b 3 0 1056 0 854 566
p 2 0 813 243 4191 1169
b 3 0 1056 0 853 514
b 3 0 1056 0 892 557
p 2 0 886 170 4731 1218
b 3 0 1056 0 936 433
b 3 0 1056 0 982 464
p 2 0 827 229 4902 1171
b 3 0 1056 0 930 557
b 3 0 1056 0 820 606
p 2 0 858 198 5580 1239
b 3 0 1056 0 810 559
b 3 0 1056 0 651 497
p 2 0 825 231 5941 1232
b 3 0 1056 0 1226 676
b 3 0 1056 0 1197 713
p 2 0 932 124 6795 1290
b 3 0 1056 0 874 523
b 3 0 1056 0 940 550
p 2 0 876 180 5722 1237
b 3 0 1056 0 907 564
b 3 0 1056 0 1112 761
p 2 0 894 162 7716 1251
b 3 0 1056 0 791 545
b 3 0 1056 0 747 472
p 2 0 895 161 8299 1280
b 3 0 1056 0 1222 770
b 3 0 1056 0 1167 726
p 2 0 941 115 8551 1348
b 3 0 1056 0 1076 589
b 3 0 1056 0 1354 678
p 2 0 998 58 6576 1301
b 3 0 1056 0 1417 728
b 3 0 1056 0 1245 693
p 2 0 960 96 5852 1268
b 3 0 1056 0 1131 562
b 3 0 1056 0 1472 724
p 2 0 948 108 7425 1335
b 3 0 1056 0 1014 713
b 3 0 1056 0 940 736
p 2 0 920 136 7301 1301
b 3 0 1056 0 688 503
b 3 0 1056 0 705 474
p 2 0 821 235 4337 1188
b 3 0 1056 0 723 491
b 3 0 1056 0 906 578
p 2 0 780 276 4551 1180
b 3 0 1056 0 621 447
b 3 0 1056 0 547 449
p 2 0 831 225 4649 1202
b 3 0 1056 0 676 567
b 3 0 1056 0 861 631
p 2 0 880 176 4916 1242
b 3 0 1056 0 448 420
b 3 0 1056 0 539 508
p 2 0 874 182 6126 1233
b 3 0 1056 0 559 498
b 3 0 1056 0 660 553
p 2 0 861 195 5276 1188
b 3 0 1056 0 600 472
b 3 0 1056 0 514 478
p 2 0 814 242 3886 1165
b 3 0 1056 0 701 595
b 3 0 1056 0 767 606
p 2 0 892 164 5451 1233
b 3 0 1056 0 2777 1344
b 3 0 1056 0 2619 1264
p 2 0 1025 31 8807 1351
b 3 0 1056 0 1360 733
b 3 0 1056 0 1371 811
p 2 0 926 130 9814 1356
b 3 0 1056 0 1110 568
b 3 0 1056 0 1151 564
p 2 0 897 159 5884 1222
b 3 0 1056 0 1234 702
b 3 0 1056 0 1274 699
p 2 0 886 170 6109 1252
b 3 0 1056 0 1083 528
b 3 0 1056 0 1322 571
p 2 0 796 260 5510 1188
b 3 0 1056 0 937 570
b 3 0 1056 0 908 588
p 2 0 805 251 5024 1181
b 3 0 1056 0 610 428
b 3 0 1056 0 781 478
p 2 0 701 355 4728 1124
b 3 0 1056 0 1035 630
b 3 0 1056 0 972 618
p 2 0 828 228 5991 1216
b 3 0 1056 0 907 514
b 3 0 1056 0 1121 539
p 2 0 751 305 5141 1186
b 3 0 1056 0 1128 592
b 3 0 1056 0 823 470
p 2 0 763 293 5476 1196
b 3 0 1056 0 707 433
b 3 0 1056 0 921 513
p 2 0 771 285 5147 1161
b 3 0 1056 0 680 589
b 3 0 1056 0 689 586
p 2 0 891 165 5680 1233
b 3 0 1056 0 648 433
b 3 0 1056 0 772 507
p 2 0 843 213 4347 1192
b 3 0 1056 0 701 519
b 3 0 1056 0 668 534
p 2 1 764 291 3798 1148
b 3 0 1056 0 636 473
b 3 0 1056 0 658 500
p 2 0 821 235 4304 1156
b 3 0 1056 0 904 705
b 3 0 1056 0 869 703
p 2 0 831 225 5171 1220
b 3 0 1056 0 698 523
