# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

i 2 1056 0 0 24947 4064
b 3 0 1056 0 824 490
b 3 0 1056 0 1064 581
p 2 7 726 323 3362 1208
b 3 0 1056 0 1195 604
b 3 0 1056 0 1174 711
p 2 4 982 70 6147 1405
b 3 0 1056 0 844 581
b 3 0 1056 0 923 683
p 2 0 949 107 5371 1351
b 3 0 1056 0 1135 787
b 3 0 1056 0 1003 728
p 2 0 1018 38 7697 1463
b 3 0 1056 0 2309 1182
b 3 0 1056 0 1915 1228
p 2 0 1027 29 7353 1452
b 3 0 1056 0 1571 913
b 3 0 1056 0 1348 857
p 2 0 1043 13 7704 1496
b 3 0 1056 0 1002 701
b 3 0 1056 0 1115 812
p 2 0 1031 25 6579 1451
b 3 0 1056 0 1039 705
b 3 0 1056 0 1130 778
p 2 0 1011 45 5635 1419
b 3 0 1056 0 1014 668
b 3 0 1056 0 983 679
p 2 0 910 146 4626 1315
b 3 0 1056 0 1007 771
b 3 0 1056 0 1000 734
p 2 0 899 157 4353 1308
b 3 0 1056 0 881 667
b 3 0 1056 0 894 717
p 2 0 947 109 4461 1315
b 3 0 1056 0 674 595
b 3 0 1056 0 785 674
p 2 0 973 83 4145 1322
b 3 0 1056 0 572 524
b 3 0 1056 0 680 601
p 2 0 845 211 3402 1206
b 3 0 1056 0 544 510
b 3 0 1056 0 705 665
p 2 0 985 71 3444 1279
b 3 0 1056 0 514 488
b 3 0 1056 0 513 482
p 2 0 853 203 3016 1198
b 3 0 1056 0 609 579
b 3 0 1056 0 609 594
p 2 0 904 152 3163 1251
b 3 0 1056 0 488 473
b 3 0 1056 0 555 527
p 2 0 834 222 2959 1181
b 3 0 1056 0 543 525
b 3 0 1056 0 658 618
p 2 0 960 96 3132 1250
b 3 0 1056 0 573 545
b 3 0 1056 0 575 565
p 2 0 850 206 3008 1185
b 3 0 1056 0 556 549
b 3 0 1056 0 584 570
p 2 0 968 88 3437 1263
b 3 0 1056 0 649 629
b 3 0 1056 0 653 626
p 2 0 961 95 4500 1263
b 3 0 1056 0 1117 773
b 3 0 1056 0 778 736
p 2 0 931 125 5194 1302
b 3 0 1056 0 586 499
b 3 0 1056 0 631 547
p 2 0 1004 52 3957 1282
b 3 0 1056 0 757 687
b 3 0 1056 0 774 701
p 2 0 911 145 3467 1274
b 3 0 1056 0 528 501
b 3 0 1056 0 562 527
p 2 0 835 221 3230 1177
b 3 0 1056 0 1973 1271
b 3 0 1056 0 2004 1338
p 2 0 1026 30 6706 1370
b 3 0 1056 0 932 748
b 3 0 1056 0 1206 829
p 2 0 965 91 5254 1299
b 3 0 1056 0 2054 1177
b 3 0 1056 0 2335 1351
p 2 0 1040 16 7639 1468
b 3 0 1056 0 2878 1481
b 3 0 1056 0 2928 1512
p 2 1 1045 10 10685 1655
b 3 0 1056 0 3294 1508
b 3 0 1056 0 3020 1511
p 2 0 1041 15 9591 1604
b 3 0 1056 0 2925 1440
b 3 0 1056 0 2475 1171
p 2 2 1040 14 8655 1589
b 3 0 1056 0 2083 1162
b 3 0 1056 0 2722 1501
p 2 1 1053 2 10463 1650
b 3 0 1056 0 2418 1232
b 3 0 1056 0 1769 1037
p 2 0 1040 16 8890 1535
b 3 0 1056 0 2461 1363
b 3 0 1056 0 2034 1219
p 2 0 1026 30 6760 1455
b 3 0 1056 0 2191 1116
b 3 0 1056 0 2129 1106
p 2 0 1039 17 7214 1457
b 3 0 1056 0 1551 951
b 3 0 1056 0 1707 1059
p 2 0 1018 38 7029 1445
b 3 0 1056 0 1647 931
b 3 0 1056 0 716 598
p 2 0 1006 50 5446 1359
b 3 0 1056 0 1103 823
b 3 0 1056 0 1001 828
p 2 0 1003 53 7498 1401
b 3 0 1056 0 790 645
b 3 0 1056 0 745 693
p 2 0 1016 40 6827 1387
b 3 0 1056 0 883 724
b 3 0 1056 0 698 649
p 2 0 975 81 4025 1325
b 3 0 1056 0 561 528
b 3 0 1056 0 569 522
p 2 0 968 88 3572 1227
b 3 0 1056 0 589 565
b 3 0 1056 0 595 589
p 2 0 887 169 3125 1181
b 3 0 1056 0 544 507
b 3 0 1056 0 498 472
p 2 0 848 208 3248 1172
b 3 0 1056 0 739 708
b 3 0 1056 0 1070 880
p 2 0 962 94 5251 1281
b 3 0 1056 0 1093 818
b 3 0 1056 0 949 636
p 2 0 1003 53 6331 1375
b 3 0 1056 0 886 705
b 3 0 1056 0 888 714
p 2 0 1033 23 7279 1380
b 3 0 1056 0 595 558
b 3 0 1056 0 621 594
p 2 0 1005 51 6239 1318
b 3 0 1056 0 732 659
b 3 0 1056 0 784 736
p 2 0 999 57 6085 1334
b 3 0 1056 0 752 661
b 3 0 1056 0 740 621
p 2 0 964 92 4644 1306
b 3 0 1056 0 675 596
b 3 0 1056 0 778 700
p 2 0 937 119 4490 1266
b 3 0 1056 0 549 535
b 3 0 1056 0 627 595
p 2 0 886 170 3749 1269
b 3 0 1056 0 561 504
b 3 0 1056 0 669 610
p 2 0 1020 36 4306 1346
b 3 0 1056 0 575 532
b 3 0 1056 0 594 551
p 2 0 877 179 3790 1275
b 3 0 1056 0 681 551
b 3 0 1056 0 663 566
p 2 0 1027 29 5977 1352
b 3 0 1056 0 1109 695
b 3 0 1056 0 1225 779
p 2 0 997 59 6351 1389
b 3 0 1056 0 1417 829
b 3 0 1056 0 1534 852
p 2 10 992 54 7629 1499
b 3 0 1056 0 1345 801
b 3 0 1056 0 1339 759
p 2 3 957 96 5884 1394
b 3 0 1056 0 1117 788
b 3 0 1056 0 1032 758
p 2 0 1001 55 6081 1407
b 3 0 1056 0 816 684
b 3 0 1056 0 884 732
p 2 0 972 84 5939 1341
b 3 0 1056 0 842 731
b 3 0 1056 0 900 785
p 2 0 969 87 4794 1315
b 3 0 1056 0 622 588
